tp,tn,fp,fn,precision,recall,f_score,epoch,batch
70,3923,11,28,0.8641975308641869,0.7142857142857071,0.7821229050274288,1,0
73,3925,13,21,0.8488372093023158,0.7765957446808428,0.811111111110603,1,10
77,3916,6,33,0.9277108433734829,0.6999999999999936,0.7979274611393979,1,20
73,3920,13,26,0.8488372093023158,0.7373737373737299,0.7891891891886831,1,30
80,3924,8,20,0.9090909090908988,0.799999999999992,0.8510638297867271,1,40
75,3937,5,15,0.9374999999999883,0.8333333333333242,0.8823529411759619,1,50
75,3914,9,34,0.8928571428571322,0.6880733944954066,0.7772020725383604,1,60
76,3930,8,18,0.904761904761894,0.8085106382978637,0.8539325842691549,1,70
79,3920,6,27,0.9294117647058715,0.7452830188679175,0.8272251308895497,1,80
79,3918,8,27,0.9080459770114838,0.7452830188679175,0.818652849740429,1,90
66,3925,13,28,0.835443037974673,0.7021276595744607,0.7630057803463157,1,100
74,3923,6,29,0.9249999999999885,0.7184466019417406,0.8087431693984061,1,110
76,3923,12,21,0.8636363636363539,0.7835051546391673,0.821621621621114,1,120
70,3921,10,31,0.8749999999999891,0.6930693069306862,0.7734806629829235,1,130
84,3916,7,25,0.923076923076913,0.7706422018348553,0.8399999999994957,1,140
81,3929,2,20,0.9759036144578196,0.801980198019794,0.8804347826081907,1,150
77,3920,10,25,0.8850574712643577,0.7549019607843064,0.8148148148143094,1,160
74,3923,9,26,0.8915662650602303,0.7399999999999927,0.8087431693984026,1,170
85,3919,4,24,0.9550561797752702,0.7798165137614608,0.8585858585853551,1,180
81,3920,5,26,0.9418604651162682,0.7570093457943855,0.8393782383414662,1,190
77,3921,15,19,0.8369565217391214,0.802083333333325,0.8191489361697043,1,200
77,3913,8,34,0.9058823529411658,0.6936936936936875,0.7857142857137865,1,210
75,3934,2,21,0.9740259740259615,0.7812499999999919,0.8670520231208833,1,220
70,3926,15,21,0.8235294117646963,0.7692307692307608,0.7954545454540372,1,230
71,3939,9,13,0.887499999999989,0.8452380952380852,0.8658536585360752,1,240
80,3933,2,17,0.9756097560975492,0.8247422680412286,0.8938547486028454,1,250
77,3922,3,30,0.962499999999988,0.7196261682242924,0.8235294117642075,1,260
71,3930,9,22,0.887499999999989,0.7634408602150456,0.8208092485544067,1,270
73,3917,11,31,0.8690476190476087,0.7019230769230702,0.7765957446803485,1,280
77,3914,9,32,0.8953488372092919,0.7064220183486174,0.7897435897430886,1,290
69,3918,12,33,0.8518518518518414,0.6764705882352875,0.7540983606552359,1,300
77,3912,11,32,0.8749999999999901,0.7064220183486174,0.7817258883243708,1,310
69,3922,12,29,0.8518518518518414,0.7040816326530541,0.770949720669887,1,320
69,3922,14,27,0.8313253012048093,0.7187499999999926,0.7709497206698851,1,330
77,3921,7,27,0.9166666666666559,0.7403846153846083,0.8191489361697097,1,340
74,3917,13,28,0.8505747126436685,0.7254901960784242,0.7830687830682779,1,350
70,3919,12,31,0.8536585365853555,0.6930693069306862,0.7650273224038686,1,360
78,3927,5,22,0.939759036144567,0.7799999999999923,0.8524590163929376,1,370
76,3930,8,18,0.904761904761894,0.8085106382978637,0.8539325842691549,1,380
75,3928,7,22,0.9146341463414523,0.7731958762886518,0.8379888268151366,1,390
74,3937,2,19,0.973684210526303,0.7956989247311743,0.8757396449699089,1,400
66,3919,11,36,0.8571428571428461,0.6470588235294055,0.7374301675972669,1,410
71,3917,10,34,0.8765432098765324,0.6761904761904698,0.7634408602145539,1,420
72,3938,9,13,0.888888888888878,0.8470588235294019,0.8674698795175622,1,430
84,3925,5,18,0.9438202247190906,0.8235294117646978,0.8795811518319538,1,440
68,3914,19,31,0.7816091954022899,0.68686868686868,0.7311827956984189,1,450
70,3927,6,29,0.9210526315789354,0.7070707070707,0.7999999999994994,1,460
77,3918,13,24,0.8555555555555461,0.7623762376237548,0.8062827225125822,1,470
83,3924,7,18,0.9222222222222121,0.8217821782178137,0.8691099476434716,1,480
85,3919,4,24,0.9550561797752702,0.7798165137614608,0.8585858585853551,1,490
77,3939,6,10,0.9277108433734829,0.8850574712643577,0.9058823529406661,1,500
81,3912,15,24,0.8437499999999912,0.7714285714285641,0.8059701492532243,1,510
69,3916,17,30,0.8023255813953396,0.6969696969696899,0.7459459459454404,1,520
76,3931,11,14,0.8735632183907946,0.8444444444444351,0.858757062146383,1,530
78,3924,8,22,0.906976744186036,0.7799999999999923,0.8387096774188486,1,540
79,3913,8,32,0.9080459770114838,0.7117117117117053,0.7979797979792974,1,550
83,3929,4,16,0.9540229885057362,0.8383838383838299,0.8924731182790624,1,560
76,3921,10,25,0.8837209302325479,0.752475247524745,0.812834224598425,1,570
82,3922,11,17,0.8817204301075174,0.82828282828282,0.8541666666661581,1,580
76,3924,12,20,0.8636363636363539,0.7916666666666584,0.8260869565212311,1,590
83,3916,7,26,0.9222222222222121,0.76146788990825,0.8341708542708529,1,600
77,3926,3,26,0.962499999999988,0.7475728155339734,0.8415300546443074,1,610
72,3926,6,28,0.9230769230769114,0.7199999999999929,0.8089887640444424,1,620
