TP,TN,FP,FN
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
260,29050,124,543
355,29451,86,85
591,28499,245,642
174,29621,87,95
5596,23585,418,378
3112,26392,161,312
779,29030,96,72
2351,26890,357,379
0,29926,0,51
1050,28390,183,354
439,29226,102,210
362,29501,48,66
42,29876,4,55
120,29830,13,14
1588,27787,347,255
1270,28164,267,276
42,29795,21,119
199,29643,79,56
391,29004,140,442
74,29755,37,111
26,29883,8,60
633,28685,200,459
812,28400,259,506
23,29830,19,105
30,29736,51,160
0,29944,0,33
47,29883,16,31
282,29379,81,235
15,29937,5,20
75,29787,29,86
338,29537,47,55
321,29576,41,39
284,29530,96,67
13176,15567,755,479
116,29669,32,160
594,28759,245,379
48,29893,13,23
179,29701,60,37
155,29715,72,35
1,29942,0,34
29,29900,5,43
0,29964,0,13
0,29971,0,6
23,29934,2,18
1313,28257,164,243
421,29286,96,174
818,28943,65,151
56,29885,15,21
43,29901,20,13
0,29976,0,1
0,29974,0,3
451,29321,136,69
34,29888,23,32
436,29187,108,246
1,29896,1,79
252,29492,85,148
82,29872,7,16
0,29965,0,12
174,29782,4,17
3525,25402,499,551
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
518,29257,136,66
4,29875,7,91
1,29937,1,38
47,29898,18,14
239,29640,51,47
3,29925,2,47
0,29974,0,3
54,29901,14,8
86,29834,24,33
0,29977,0,0
7686,21389,521,381
928,28663,188,198
204,29611,54,108
1068,28378,323,208
261,29604,46,66
0,29977,0,0
61,29826,28,62
131,29725,42,79
0,29967,0,10
112,29758,23,84
461,29319,132,65
0,29977,0,0
0,29949,0,28
0,29889,0,88
1433,27649,372,523
45,29816,13,103
31,29877,3,66
68,29867,18,24
1250,28692,14,21
0,29966,0,11
812,28774,152,239
296,29459,103,119
122,29784,32,39
0,29926,0,51
1817,27919,89,152
938,28796,60,183
1963,27648,172,194
914,28806,69,188
1016,28720,131,110
3313,26357,223,84
1870,27948,104,55
476,29406,72,23
817,29057,52,51
7866,21303,441,367
0,29977,0,0
0,29977,0,0
