TP,TN,FP,FN
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
123,29115,59,680
333,29470,67,107
578,28504,240,655
102,29664,44,167
5567,23611,392,407
3143,26364,189,281
733,29032,94,118
2286,26965,282,444
0,29926,0,51
1097,28304,269,307
459,29207,121,190
340,29487,62,88
0,29880,0,97
103,29827,16,31
1611,27773,361,232
1295,28107,324,251
0,29816,0,161
170,29671,51,85
310,29032,112,523
1,29791,1,184
0,29891,0,86
601,28687,198,491
757,28399,260,561
0,29849,0,128
0,29787,0,190
0,29944,0,33
1,29899,0,77
206,29422,38,311
0,29942,0,35
66,29787,29,95
325,29554,30,68
313,29583,34,47
265,29560,66,86
13119,15571,751,536
38,29694,7,238
552,28734,270,421
0,29906,0,71
140,29739,22,76
110,29757,30,80
0,29942,0,35
0,29905,0,72
0,29964,0,13
0,29971,0,6
0,29936,0,41
1289,28241,180,267
404,29259,123,191
790,28948,60,179
0,29900,0,77
0,29921,0,56
0,29976,0,1
0,29974,0,3
394,29376,81,126
1,29911,0,65
400,29178,117,282
0,29897,0,80
210,29515,62,190
2,29879,0,96
0,29965,0,12
169,29783,3,22
3499,25355,546,577
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
534,29233,160,50
1,29875,7,94
0,29938,0,39
33,29907,9,28
249,29615,76,37
0,29927,0,50
0,29974,0,3
48,29907,8,14
87,29828,30,32
0,29977,0,0
7565,21465,445,502
890,28670,181,236
122,29643,22,190
974,28478,223,302
257,29589,61,70
0,29977,0,0
1,29853,1,122
74,29734,33,136
0,29967,0,10
59,29773,8,137
398,29372,79,128
0,29977,0,0
0,29949,0,28
0,29889,0,88
1396,27665,356,560
0,29829,0,148
0,29880,0,97
13,29885,0,79
1242,28695,11,29
0,29966,0,11
765,28795,131,286
257,29495,67,158
127,29778,38,34
0,29926,0,51
1801,27899,109,168
917,28792,64,204
1985,27633,187,172
928,28784,91,174
1003,28743,108,123
3253,26401,179,144
1849,27954,98,76
425,29452,26,74
786,29077,32,82
7823,21283,461,410
0,29977,0,0
0,29977,0,0
