TP,TN,FP,FN
0,1198577,518,0
0,1197731,1364,0
0,1198951,144,0
0,1198241,854,0
0,1198033,1062,0
0,1198009,1086,0
0,1197614,1481,0
0,1198687,408,0
0,1198839,256,0
0,1198046,1049,0
0,1198739,356,0
21718,1087473,77912,11992
16254,1149496,30529,2816
33564,1089052,56263,20216
9217,1147908,40017,1953
186647,946174,16576,49698
107940,1042048,21452,27655
25639,1126989,38476,7991
72697,1052418,38482,35498
2106,1177965,18685,339
46006,1106064,35066,11959
21737,1131678,41107,4573
15021,1155717,26378,1979
3603,1168814,26041,637
4882,1183604,10046,563
62760,1085115,39040,12180
52015,1090459,46156,10465
5248,1137949,54466,1432
9158,1160715,27355,1867
21620,1107553,56652,13270
6151,1154518,36967,1459
3369,1167371,27784,571
30900,1103412,49903,14880
34319,1091344,51661,21771
5072,1152701,40554,768
7067,1146812,43438,1778
1076,1164650,32875,494
3329,1173515,21765,486
16012,1129144,48151,5788
1547,1188151,9284,113
6256,1161071,30434,1334
14337,1168382,14198,2178
13378,1173117,11183,1417
13291,1161871,21774,2159
423407,628904,19021,127763
10003,1140428,46587,2077
30512,1108098,49412,11073
2692,1170836,25234,333
8465,1163562,26298,770
7470,1163202,27733,690
1351,1178604,19091,49
2862,1170968,24947,318
614,1176103,22312,66
258,1177090,21715,32
1644,1176285,21050,116
52818,1103995,30340,11942
21085,1135288,38502,4220
32974,1130188,29807,6126
3183,1176006,19599,307
2320,1176405,20165,205
66,1188502,10513,14
144,1184690,14245,16
19888,1155764,20091,3352
2906,1168046,27904,239
23545,1122613,46177,6760
3167,1153061,42069,798
14111,1139654,42196,3134
3698,1169425,25555,417
458,1189543,9067,27
7009,1176221,15324,541
130170,993199,34741,40985
0,1198921,174,0
0,1197874,1221,0
0,1198903,192,0
0,1198528,567,0
0,1197944,1151,0
0,1198417,678,0
0,1197828,1267,0
0,1198613,482,0
0,1198373,722,0
25840,1153488,17807,1960
4165,1167639,26886,405
2753,1173100,23040,202
3049,1179859,16041,146
11998,1164720,21350,1027
2859,1164583,31502,151
236,1180114,18736,9
3220,1179739,15991,145
5757,1164331,28549,458
34,1189651,9404,6
279353,846690,20245,52807
38658,1110651,41194,8592
11110,1149343,36637,2005
43972,1098315,48400,8408
12277,1162329,23076,1413
0,1198892,203,0
4579,1168001,25769,746
8680,1152411,36664,1340
548,1188962,9523,62
7529,1161178,29302,1086
20061,1155533,20047,3454
11,1196849,2226,9
1116,1178934,18936,109
3397,1162222,32908,568
62474,1064349,54081,18191
5104,1156726,36049,1216
3537,1173218,21887,453
3747,1174634,20421,293
46308,1141372,7488,3927
729,1187692,10583,91
37178,1110027,46258,5632
14318,1147876,34234,2667
6334,1178472,13863,426
2403,1167475,28810,407
60292,1105424,15371,18008
36123,1114437,39803,8732
73276,1081901,31274,12644
37381,1114877,40588,6249
37652,1118634,35226,7583
120156,1047852,16278,14809
67085,1093954,28771,9285
16835,1156751,22354,3155
30171,1134813,29672,4439
268064,851826,19899,59306
0,1198958,137,0
0,1198359,736,0
